fullname,shortname,category,summary

Hon Visual Arts (11/12),ARVHONSH1112,Teaching & Learning / Arts,ARVHONSH1112 ARVHONSH1112 

German A (6),GERA6,Teaching & Learning / World Languages,GERA6 

German A (7),GERA7,Teaching & Learning / World Languages,GERA7 

Korean A (10),KORA10,Teaching & Learning / World Languages,KORA10 

German A (9),GERA9,Teaching & Learning / World Languages,GERA9 

Hon Environmental Systems (11/12),ENVHONSH1112,Teaching & Learning / Science,ENVHONSH1112 

Humanities (10),HUMAN10,Teaching & Learning / Humanities,HUMAN10 

HSD Careers (11/12),CAREERSH1112,Teaching & Learning / Others,CAREERSH1112 CAREERSH1112 

German A Literature SL/HL (11/12),GERLISH1112,Teaching & Learning / World Languages,GERLISH1112 GERLISH1112 GERLISH1112 GERLISH1112 

German A1 SL/HL (11/12),GERA1SH1112,Teaching & Learning / World Languages,GERA1SH1112 

Homeroom (11/12),HROOMSH1112,Teaching & Learning / Others,HROOMSH1112 HROOMSH1112 

Library Skills (11/12),LIBRASH1112,Teaching & Learning / Others,LIBRASH1112 LIBRASH1112 

English A (9),ENGA9,Teaching & Learning / English,ENGA9 

Hon Japanese A Literature (11/12),JPLHONSH1112,,JPLHONSH1112 

Computer (10),TECOM10,Teaching & Learning / Design,TECOM10 

Computer Science SL/HL (11/12),TECOMSH1112,Teaching & Learning / Design,TECOMSH1112 TECOMSH1112 TECOMSH1112 TECOMSH1112 

Design (10),DESIG10,Teaching & Learning / Design,DESIG10 

German A (8),GERA8,Teaching & Learning / World Languages,GERA8 

Chinese B Advanced (7),CHIBA7,Teaching & Learning / World Languages,CHIBA7 

Material (10),TEMAT10,Teaching & Learning / Design,TEMAT10 

Science (10),SCIEN10,Teaching & Learning / Science,SCIEN10 

Homeroom (10),HROOM10,Teaching & Learning / Others,HROOM10 

Supervised Study Hall (11/12),XSTUDYSH1112,Teaching & Learning / Others,XSTUDYSH1112 XSTUDYSH1112 

IB Spanish B SL/HL (11/12),LBSPASH1112,Teaching & Learning / World Languages,LBSPASH1112 LBSPASH1112 LBSPASH1112 LBSPASH1112 

Mathematics Standard (10),MATST10,Teaching & Learning / Math,MATST10 

