('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '42872')
('SPAB10', '', '', '38200', '35732')
('SPAB10', '', '', '38200', '36302')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '47472')
('SPAB10', '', '', '38200', '31554')
('SPAB10', '', '', '38200', '47472')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('JAPA10', '', '', '37870', '33352')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('GERA10', '', '', '38250', '32772')
('GERA10', '', '', '38250', '33334')
('GERA10', '', '', '38250', '35533')
('GERA10', '', '', '38250', '39782')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('IBCAS1112', '', '', '37421', '32612')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '34153')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '37174')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '43942')
('HUMAN6', '', '', '45960', '36323')
('HUMAN6', '', '', '45960', '48072')
('HUMAN6', '', '', '45960', '48082')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '40432')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '43393')
('HUMAN6', '', '', '45960', '33972')
('HUMAN6', '', '', '45960', '38754')
('HUMAN6', '', '', '45960', '47542')
('HUMAN6', '', '', '45960', '44033')
('HUMAN6', '', '', '45960', '43923')
('HUMAN6', '', '', '45960', '47812')
('HUMAN6', '', '', '45960', '33972')
